,Nuevos Ingresos Hospitalarios,Vizcaya,Álava,Guipuzcoa,01 Araba,02 Cruces,03 Donosti,04 Basurto,05 Galdakao,06 Zumarraga,07 Bidasoa,08 Mendaro,09 Alto Deba,10 San Eloy,11 Urduliz,12 Eibar,13 Leza,14 Sta Marina,15 Gorliz,BERMEO H.,ZALDIBAR H.,ZAMUDIO H.,ÁLAVA PSIQUIÁTRICO H.
16/11/2020,98,45,14,39,14,18,27,7,6,4,3,4,1,4,3,0,0,7,0,0,0,0,0
17/11/2020,134,73,18,43,18,18,28,30,10,5,2,3,3,1,7,2,0,7,0,0,0,0,0
18/11/2020,94,42,17,35,17,12,20,14,6,2,4,4,5,2,2,0,0,6,0,0,0,0,0
19/11/2020,95,49,12,34,12,13,22,12,13,0,3,3,4,3,2,2,0,5,0,0,0,1,0
20/11/2020,82,36,8,38,8,10,24,9,4,2,6,4,1,2,1,1,0,10,0,0,0,0,0
21/11/2020,44,15,9,20,9,4,14,4,2,1,0,3,2,0,3,0,0,2,0,0,0,0,0
22/11/2020,37,23,3,11,3,5,5,5,6,0,0,3,2,0,2,1,0,5,0,0,0,0,0
23/11/2020,91,39,13,39,13,9,23,11,7,4,3,6,1,1,3,2,0,3,5,0,0,0,0
24/11/2020,82,45,8,29,8,10,15,14,9,4,1,4,3,3,2,2,0,5,2,0,0,0,0
25/11/2020,85,44,8,33,8,11,23,18,4,3,1,1,4,1,4,1,0,4,2,0,0,0,0
26/11/2020,83,43,12,28,12,7,18,10,2,3,3,1,3,2,7,0,0,11,2,0,0,2,0
27/11/2020,78,48,5,25,5,13,12,10,7,1,2,4,4,6,4,2,0,5,3,0,0,0,0
28/11/2020,37,25,6,6,6,6,2,10,2,1,0,2,1,1,0,0,0,4,2,0,0,0,0
29/11/2020,35,13,7,15,7,4,10,5,0,2,2,0,1,1,0,0,0,3,0,0,0,0,0
30/11/2020,63,29,8,26,8,6,14,11,3,3,4,2,0,3,2,3,0,3,1,0,0,0,0
01/12/2020,65,36,8,21,7,9,15,12,1,2,0,1,2,2,5,1,1,4,3,0,0,0,0
